,f1_test_svm,f1_test_tm,f1_train_svm,f1_train_tm,topic_num
0,0.16218873547059648,0.20756479333721403,0.1846344098367229,0.21900685959703428,150.0
1,0.166945443266123,0.2086914703169939,0.19470623342518156,0.2191410674216573,165.0
2,0.16705848821357067,0.20820006449902592,0.19601002189360192,0.220381939671264,180.0
3,0.17158449734367276,0.21750203995645667,0.19897321353379552,0.2270830055866049,195.0
4,0.16247905381886066,0.21007918470936046,0.19419857036929797,0.22220228506564854,210.0
5,0.17423035523935457,0.22094096526190862,0.21065349400364042,0.23383350093213373,225.0
6,0.17532973187726283,0.22440146686438017,0.21040740235875105,0.24366175641187712,240.0
7,0.17819961206204155,0.23580544312760054,0.21211795496508531,0.25272781602367705,255.0
8,0.18137516748678845,0.23450723444286367,0.22473956566606113,0.24513773063009725,270.0
9,0.17577618032982864,0.2338892055263996,0.2234016556935702,0.25265768913167613,285.0
10,0.1810158798346481,0.23209614792006858,0.22618395821624315,0.25337836536754677,300.0
11,0.18951696540931223,0.22943206189173124,0.22808013696053042,0.24996674604886582,315.0
12,0.1983055902780965,0.24605725939600623,0.2378693521957476,0.26759285256770776,330.0
13,0.18853053770557351,0.23263306841033285,0.2283463560160756,0.262290704971572,345.0
14,0.187356565936074,0.22796122435425756,0.22972165818732707,0.26640250719848285,360.0
15,0.19722773293602938,0.2349989430552173,0.23385771019375126,0.26795795895532387,375.0
16,0.185552217371449,0.22216187730936063,0.22743733354803847,0.25595141255179776,390.0
